,FEATURE_NAME,IMPORTANCE
167,CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,1
168,CLOSED_CNT_CREDIT_PROLONG_SUM,0
169,CLOSED_MONTHS_BALANCE_MAX_MAX,2
170,CLOSED_MONTHS_BALANCE_SIZE_MEAN,27
171,CLOSED_MONTHS_BALANCE_SIZE_SUM,25
172,PREV_AMT_ANNUITY_MIN,84
173,PREV_AMT_ANNUITY_MAX,30
174,PREV_AMT_ANNUITY_MEAN,46
175,PREV_AMT_APPLICATION_MEAN,59
176,PREV_AMT_CREDIT_MIN,49
177,PREV_AMT_CREDIT_MAX,18
178,PREV_APP_CREDIT_PERC_MEAN,92
179,PREV_AMT_DOWN_PAYMENT_MIN,1
180,PREV_AMT_DOWN_PAYMENT_MAX,20
181,PREV_HOUR_APPR_PROCESS_START_MEAN,91
182,PREV_RATE_DOWN_PAYMENT_MIN,19
183,PREV_RATE_DOWN_PAYMENT_MAX,36
184,PREV_RATE_DOWN_PAYMENT_MEAN,10
185,PREV_DAYS_DECISION_MIN,40
186,PREV_DAYS_DECISION_MAX,37
187,PREV_CNT_PAYMENT_MEAN,133
188,PREV_CNT_PAYMENT_SUM,18
189,PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,29
190,PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,15
191,PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0
192,PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,17
193,PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,20
194,PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,20
195,PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,14
196,PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,49
197,PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,9
198,PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,21
199,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,76
200,PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,49
201,PREV_NAME_PAYMENT_TYPE_Cashless from the account of the employer_MEAN,0
202,PREV_NAME_PAYMENT_TYPE_XNA_MEAN,28
203,PREV_CODE_REJECT_REASON_HC_MEAN,23
204,PREV_CODE_REJECT_REASON_LIMIT_MEAN,12
205,PREV_CODE_REJECT_REASON_SCO_MEAN,47
206,PREV_CODE_REJECT_REASON_SCOFR_MEAN,22
207,PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0
208,PREV_CODE_REJECT_REASON_VERIF_MEAN,0
209,PREV_CODE_REJECT_REASON_XAP_MEAN,37
210,PREV_CODE_REJECT_REASON_XNA_MEAN,7
211,PREV_NAME_CLIENT_TYPE_New_MEAN,33
212,PREV_NAME_CLIENT_TYPE_Repeater_MEAN,12
213,PREV_NAME_CLIENT_TYPE_XNA_MEAN,0
214,PREV_NAME_PORTFOLIO_POS_MEAN,24
215,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,28
216,PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,26
217,PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,24
218,PREV_CHANNEL_TYPE_Car dealer_MEAN,0
219,PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,57
220,PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,17
221,PREV_CHANNEL_TYPE_Regional / Local_MEAN,8
222,PREV_CHANNEL_TYPE_Stone_MEAN,21
223,APPROVED_AMT_ANNUITY_MAX,34
224,APPROVED_AMT_ANNUITY_MEAN,76
225,APPROVED_AMT_APPLICATION_MIN,32
226,APPROVED_AMT_CREDIT_MIN,51
227,APPROVED_AMT_CREDIT_MAX,50
228,APPROVED_APP_CREDIT_PERC_VAR,92
229,APPROVED_AMT_DOWN_PAYMENT_MAX,50
230,APPROVED_AMT_DOWN_PAYMENT_MEAN,9
231,APPROVED_HOUR_APPR_PROCESS_START_MIN,9
232,APPROVED_HOUR_APPR_PROCESS_START_MAX,32
233,APPROVED_RATE_DOWN_PAYMENT_MAX,14
234,APPROVED_DAYS_DECISION_MIN,38
235,APPROVED_DAYS_DECISION_MAX,57
236,APPROVED_DAYS_DECISION_MEAN,67
237,APPROVED_CNT_PAYMENT_MEAN,211
238,APPROVED_CNT_PAYMENT_SUM,79
239,REFUSED_AMT_ANNUITY_MAX,16
240,REFUSED_AMT_ANNUITY_MEAN,25
241,REFUSED_AMT_APPLICATION_MEAN,0
242,REFUSED_AMT_CREDIT_MIN,17
243,REFUSED_AMT_CREDIT_MAX,22
244,REFUSED_APP_CREDIT_PERC_MAX,15
245,REFUSED_APP_CREDIT_PERC_VAR,39
246,REFUSED_AMT_DOWN_PAYMENT_MIN,2
247,REFUSED_AMT_GOODS_PRICE_MIN,16
248,REFUSED_AMT_GOODS_PRICE_MEAN,27
249,REFUSED_HOUR_APPR_PROCESS_START_MIN,41
250,REFUSED_HOUR_APPR_PROCESS_START_MAX,24
251,REFUSED_RATE_DOWN_PAYMENT_MIN,11
252,REFUSED_RATE_DOWN_PAYMENT_MAX,19
253,REFUSED_CNT_PAYMENT_MEAN,11
254,REFUSED_CNT_PAYMENT_SUM,23
255,POS_MONTHS_BALANCE_MEAN,56
256,POS_MONTHS_BALANCE_SIZE,112
257,POS_SK_DPD_MAX,11
258,POS_SK_DPD_MEAN,7
259,POS_SK_DPD_DEF_MAX,49
260,POS_SK_DPD_DEF_MEAN,54
261,POS_NAME_CONTRACT_STATUS_Amortized debt_MEAN,0
262,POS_NAME_CONTRACT_STATUS_Approved_MEAN,0
263,POS_NAME_CONTRACT_STATUS_Canceled_MEAN,0
264,POS_NAME_CONTRACT_STATUS_Demand_MEAN,9
265,POS_NAME_CONTRACT_STATUS_Returned to the store_MEAN,33
266,POS_NAME_CONTRACT_STATUS_Signed_MEAN,20
267,POS_NAME_CONTRACT_STATUS_XNA_MEAN,0
268,POS_COUNT,0
269,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,41
270,INSTAL_DPD_MAX,93
271,INSTAL_DPD_MEAN,136
272,INSTAL_DPD_SUM,23
273,INSTAL_DBD_MAX,49
274,INSTAL_DBD_MEAN,46
275,INSTAL_DBD_SUM,71
276,INSTAL_PAYMENT_PERC_MEAN,57
277,INSTAL_PAYMENT_DIFF_MAX,26
278,INSTAL_PAYMENT_DIFF_MEAN,121
279,INSTAL_PAYMENT_DIFF_SUM,68
280,INSTAL_PAYMENT_DIFF_VAR,46
281,INSTAL_AMT_INSTALMENT_MAX,92
282,INSTAL_AMT_PAYMENT_MIN,65
283,INSTAL_AMT_PAYMENT_MAX,39
284,INSTAL_AMT_PAYMENT_SUM,176
285,INSTAL_DAYS_ENTRY_PAYMENT_MAX,131
286,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,38
287,INSTAL_DAYS_ENTRY_PAYMENT_SUM,48
288,INSTAL_COUNT,51
289,CC_MONTHS_BALANCE_MAX,8
290,CC_AMT_BALANCE_MAX,9
291,CC_AMT_BALANCE_MEAN,27
292,CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,11
293,CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,29
294,CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,13
295,CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,8
296,CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,9
297,CC_AMT_DRAWINGS_ATM_CURRENT_SUM,33
298,CC_AMT_DRAWINGS_ATM_CURRENT_VAR,20
299,CC_AMT_DRAWINGS_CURRENT_MEAN,3
300,CC_AMT_DRAWINGS_CURRENT_SUM,3
301,CC_AMT_DRAWINGS_CURRENT_VAR,11
302,CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0
303,CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,19
304,CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,0
305,CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,0
306,CC_AMT_DRAWINGS_POS_CURRENT_MIN,8
307,CC_AMT_DRAWINGS_POS_CURRENT_MAX,5
308,CC_AMT_DRAWINGS_POS_CURRENT_VAR,10
309,CC_AMT_INST_MIN_REGULARITY_MIN,0
310,CC_AMT_INST_MIN_REGULARITY_SUM,3
311,CC_AMT_INST_MIN_REGULARITY_VAR,34
312,CC_AMT_PAYMENT_CURRENT_MIN,0
313,CC_AMT_PAYMENT_CURRENT_SUM,21
314,CC_AMT_PAYMENT_CURRENT_VAR,26
315,CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,0
316,CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,7
317,CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,9
318,CC_AMT_RECEIVABLE_PRINCIPAL_MIN,21
319,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,12
320,CC_AMT_RECIVABLE_MAX,4
321,CC_AMT_RECIVABLE_MEAN,5
322,CC_AMT_TOTAL_RECEIVABLE_MAX,7
323,CC_AMT_TOTAL_RECEIVABLE_MEAN,0
324,CC_CNT_DRAWINGS_ATM_CURRENT_MIN,1
325,CC_CNT_DRAWINGS_ATM_CURRENT_MAX,6
